,Knesset Number,Member ID,First Name,Last Name,Gender,Party ID,Party Name,Role ID,Role Desc
0,1,2607,אסתר,רזיאל-נאור,נקבה,,,61,חברת הכנסת
1,1,2610,יעקב,ריפתין,זכר,,,43,חבר הכנסת
2,1,2613,דוד,רמז,זכר,,,43,חבר הכנסת
3,1,2616,ברל,רפטור,זכר,,,43,חבר הכנסת
4,1,2617,מנחם,רצון,זכר,,,43,חבר הכנסת
5,1,2618,אברהם,רקנטי,זכר,,,43,חבר הכנסת
6,1,2619,אברהם חיים,שאג,זכר,,,43,חבר הכנסת
7,1,2631,זלמן,שזר,זכר,,,43,חבר הכנסת
8,1,2639,בכור-שלום,שיטרית,זכר,,,43,חבר הכנסת
9,1,2651,יהודית,שמחונית,נקבה,,,61,חברת הכנסת
10,1,2657,אריה,שפטל,זכר,,,43,חבר הכנסת
11,1,2661,חיים משה,שפירא,זכר,,,43,חבר הכנסת
12,1,2665,יוסף,שפרינצק,זכר,,,43,חבר הכנסת
13,1,2666,ראובן,שרי,זכר,,,43,חבר הכנסת
14,1,2671,אפרים,תבורי,זכר,,,43,חבר הכנסת
15,1,2187,יוסף,בורג,זכר,,,70,סגן יושב-ראש הכנסת
16,1,2665,יוסף,שפרינצק,זכר,,,122,יושב–ראש הכנסת
17,1,2448,גולדה,מאיר,נקבה,,,61,חברת הכנסת
18,1,2456,אליהו,מזור,זכר,,,43,חבר הכנסת
19,1,2460,יהודה לייב,מימון,זכר,,,43,חבר הכנסת
20,1,2461,עדה,מימון,נקבה,,,61,חברת הכנסת
21,1,2462,בנימין,מינץ,זכר,,,43,חבר הכנסת
22,1,2464,שמואל,מיקוניס,זכר,,,43,חבר הכנסת
23,1,2471,יעקב,מרידור,זכר,,,43,חבר הכנסת
24,1,2472,שמואל,מרלין,זכר,,,43,חבר הכנסת
25,1,2478,מרדכי,נורוק,זכר,,,43,חבר הכנסת
26,1,2486,נחום,ניר-רפאלקס,זכר,,,43,חבר הכנסת
27,1,2493,פרץ,נפתלי,זכר,,,43,חבר הכנסת
28,1,2494,דבורה,נצר,נקבה,,,61,חברת הכנסת
29,1,2508,יזהר,סמילנסקי,זכר,,,43,חבר הכנסת
30,1,2509,משה,סנה,זכר,,,43,חבר הכנסת
31,1,2512,יוסף,ספיר,זכר,,,43,חבר הכנסת
32,1,2516,יוסף,סרלין,זכר,,,43,חבר הכנסת
33,1,2531,ישעיהו,פורדר,זכר,,,43,חבר הכנסת
34,1,2533,אילנית,פייגה,נקבה,,,61,חברת הכנסת
35,1,2546,דוד-צבי,פנקס,זכר,,,43,חבר הכנסת
36,1,2548,השל,פרומקין,זכר,,,43,חבר הכנסת
37,1,2551,אליעזר,פרי,זכר,,,43,חבר הכנסת
38,1,2555,אליעזר,פרמינגר,זכר,,,43,חבר הכנסת
39,1,2557,שושנה,פרסיץ,נקבה,,,61,חברת הכנסת
40,1,2571,אהרן,ציזלינג,זכר,,,43,חבר הכנסת
41,1,2578,הלל,קוק,זכר,,,43,חבר הכנסת
42,1,2584,יעקב,קליבנוב,זכר,,,43,חבר הכנסת
