,Knesset_num,Party_ID,Party_name,Start_date,Finish_date
0,1,105,מפלגת פועלים מאוחדת,14/02/1949,20/08/1951
1,1,109,מפלגת פועלי ארץ-ישראל,14/02/1949,20/08/1951
2,1,111,רשימה דמוקרטית של נצרת,14/02/1949,20/08/1951
3,1,115,תנועת החרות,14/02/1949,20/08/1951
4,1,117,ציונים כלליים,14/02/1949,20/08/1951
5,1,119,ספרדים ועדות מזרח,14/02/1949,20/08/1951
6,1,123,מפלגה פרוגרסיבית,14/02/1949,20/08/1951
7,1,125,רשימת הלוחמים,14/02/1949,20/08/1951
8,1,129,מפלגה קומוניסטית ישראלית,14/02/1949,20/08/1951
9,1,131,חזית דתית מאוחדת,14/02/1949,20/08/1951
10,1,139,התאחדות התימנים בישראל,14/02/1949,20/08/1951
11,1,145,"ויצ""ו",14/02/1949,20/08/1951
12,1,911,אין נתונים,01/01/1900,
13,1,977,הקומוניסטים העברים,08/06/1949,15/08/1949
0,2,147,מפלגת פועלים מאוחדת,20/08/1951,15/08/1955
1,2,149,מפלגת פועלי ארץ-ישראל,20/08/1951,15/08/1955
2,2,151,רשימה דמוקרטית לערביי ישראל,20/08/1951,15/08/1955
3,2,153,תנועת החרות,20/08/1951,15/08/1955
4,2,155,ציונים כלליים,20/08/1951,15/08/1955
5,2,159,חקלאות ופיתוח,20/08/1951,15/08/1955
6,2,161,מפלגה פרוגרסיבית,20/08/1951,15/08/1955
7,2,163,אחדות העבודה - פועלי ציון,23/08/1954,15/08/1955
8,2,165,פועלי אגודת ישראל,20/08/1951,15/08/1955
9,2,167,מפלגה קומוניסטית ישראלית,20/08/1951,15/08/1955
10,2,169,מזרחי,20/08/1951,15/08/1955
11,2,171,אגודת ישראל,20/08/1951,15/08/1955
12,2,173,הפועל המזרחי,20/08/1951,15/08/1955
13,2,179,התאחדות התימנים בישראל,20/08/1951,10/09/1951
14,2,181,קידמה ועבודה,20/08/1951,15/08/1955
15,2,183,ספרדים ועדות מזרח,20/08/1951,10/09/1951
16,2,978,סיעה בלתי תלויה באחדות העבודה,20/01/1953,13/01/1954
17,2,979,סיעת השמאל,20/02/1952,01/11/1954
0,3,185,מפלגת פועלים מאוחדת,15/08/1955,30/11/1959
1,3,189,מפלגת פועלי ארץ-ישראל,15/08/1955,30/11/1959
2,3,191,רשימה דמוקרטית לערביי ישראל,15/08/1955,30/11/1959
3,3,193,תנועת החרות,15/08/1955,30/11/1959
4,3,195,ציונים כלליים,15/08/1955,30/11/1959
5,3,197,חקלאות ופיתוח,15/08/1955,30/11/1959
6,3,199,מפלגה פרוגרסיבית,15/08/1955,30/11/1959
7,3,203,אחדות העבודה - פועלי ציון,15/08/1955,30/11/1959
8,3,205,מפלגה קומוניסטית ישראלית,15/08/1955,30/11/1959
9,3,207,חזית דתית לאומית,15/08/1955,31/10/1955
10,3,209,חזית דתית תורתית,15/08/1955,03/11/1955
11,3,211,קידמה ועבודה,15/08/1955,30/11/1959
12,3,980,אגודת ישראל - פועלי אגודת ישראל,03/11/1955,30/11/1959
13,3,981,מפלגה דתית לאומית,22/01/1957,30/11/1959
14,3,982,הפועל המזרחי - המזרחי,31/10/1955,22/01/1957
0,4,213,מפלגת פועלים מאוחדת,30/11/1959,04/09/1961
1,4,215,אגודת ישראל,09/08/1960,04/09/1961
2,4,217,קידמה ופיתוח,30/11/1959,04/09/1961
3,4,219,מפלגת פועלי ארץ-ישראל,30/11/1959,04/09/1961
4,4,221,תנועת החרות,30/11/1959,04/09/1961
5,4,223,ציונים כלליים,30/11/1959,08/05/1961
6,4,225,חקלאות ופיתוח,30/11/1959,04/09/1961
7,4,227,מפלגה פרוגרסיבית,30/11/1959,08/05/1961
8,4,229,שיתוף ואחווה,30/11/1959,04/09/1961
9,4,231,אחדות העבודה - פועלי ציון,30/11/1959,04/09/1961
10,4,233,פועלי אגודת ישראל,09/08/1960,04/09/1961
11,4,235,מפלגה קומוניסטית ישראלית,30/11/1959,04/09/1961
12,4,237,מפלגה דתית לאומית,30/11/1959,04/09/1961
13,4,239,חזית דתית תורתית,30/11/1959,09/08/1960
14,4,241,מפלגה ליברלית ישראלית,08/05/1961,04/09/1961
0,5,243,מפלגת פועלים מאוחדת,04/09/1961,22/11/1965
1,5,245,אגודת ישראל,04/09/1961,22/11/1965
2,5,249,קידמה ופיתוח,04/09/1961,22/11/1965
3,5,251,מפלגת פועלי ארץ-ישראל,04/09/1961,22/11/1965
4,5,253,תנועת החרות,04/09/1961,25/05/1965
5,5,255,גוש חרות ליברלים,25/05/1965,22/11/1965
6,5,257,רשימת פועלים ישראלית,14/07/1965,22/11/1965
7,5,259,שיתוף ואחווה,04/09/1961,22/11/1965
8,5,261,אחדות העבודה - פועלי ציון,04/09/1961,22/11/1965
9,5,263,פועלי אגודת ישראל,04/09/1961,22/11/1965
10,5,265,מפלגה קומוניסטית ישראלית,04/09/1961,22/11/1965
11,5,269,מפלגה דתית לאומית,04/09/1961,22/11/1965
12,5,271,מפלגה ליברלית ישראלית,04/09/1961,25/05/1965
13,5,273,ליברלים עצמאיים,16/03/1965,22/11/1965
14,5,275,רשימה קומוניסטית חדשה,01/09/1965,22/11/1965
15,5,983,"חה""כ יונה כסה",22/12/1964,22/11/1965
0,6,279,מפלגת פועלים מאוחדת,22/11/1965,28/01/1969
1,6,283,אגודת ישראל,22/11/1965,17/11/1969
2,6,285,קידמה ופיתוח,22/11/1965,05/07/1966
3,6,287,גוש חרות ליברלים,22/11/1965,17/11/1969
4,6,289,רשימת פועלים ישראלית,22/11/1965,23/01/1968
5,6,291,שיתוף ואחווה,22/11/1965,05/07/1966
6,6,293,פועלי אגודת ישראל,22/11/1965,17/11/1969
7,6,295,מפלגה קומוניסטית ישראלית,22/11/1965,17/11/1969
8,6,297,אחווה יהודית - ערבית,22/10/1968,17/11/1969
9,6,299,מערך,28/01/1969,17/11/1969
