,Knesset_num,Party_ID,Party_name,Start_date,Finish_date
0,1,105,מפלגת פועלים מאוחדת,1949-02-14,1951-08-20
1,1,109,מפלגת פועלי ארץ-ישראל,1949-02-14,1951-08-20
2,1,111,רשימה דמוקרטית של נצרת,1949-02-14,1951-08-20
3,1,115,תנועת החרות,1949-02-14,1951-08-20
4,1,117,ציונים כלליים,1949-02-14,1951-08-20
5,1,119,ספרדים ועדות מזרח,1949-02-14,1951-08-20
6,1,123,מפלגה פרוגרסיבית,1949-02-14,1951-08-20
7,1,125,רשימת הלוחמים,1949-02-14,1951-08-20
8,1,129,מפלגה קומוניסטית ישראלית,1949-02-14,1951-08-20
9,1,131,חזית דתית מאוחדת,1949-02-14,1951-08-20
10,1,139,התאחדות התימנים בישראל,1949-02-14,1951-08-20
11,1,145,"ויצ""ו",1949-02-14,1951-08-20
12,1,911,אין נתונים,1900-01-01,
13,1,977,הקומוניסטים העברים,1949-06-08,1949-08-15
