Knesset_Num,Committee_Name,Committee_Protocol_Num,Date,Member_Name,Speaking_Times,Avg_Neutral,Avg_Positive,Avg_Negative
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,דוד ביטן,24,0.04084296,0.000812999,1.07E-05
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,עודד פורר,5,0.199606175,0.000377378,1.64E-05
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,פנינה תמנו,2,0.478870571,0.015600906,0.005528533
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,ינון אזולאי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,משה ארבל,1,0.999805152,0.000154391,4.05E-05
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,אסף זמיר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),2,05/06/2019,מאיר כהן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,דוד ביטן,204,0.974353211,0.024522172,0.001124611
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,משה ארבל,12,0.934287548,0.064954747,0.000757704
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,צבי האוזר,38,0.942226264,0.057013552,0.000760179
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,אסף זמיר,10,0.93223353,0.067250207,0.000516265
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,אופיר סופר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,עודד פורר,13,0.976888038,0.022156579,0.00095539
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,יצחק פינדרוס,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק הבחירות לכנסת העשרים ושתיים (הוראות מיוחדות לעניין ועדת הבחירות),1,05/06/2019,מאיר כהן,31,0.904658594,0.080709895,0.014631498
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,מכלוף מיקי זוהר,140,0.969724987,0.028892427,0.001382583
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,אלי אבידר,19,0.978984171,0.019614573,0.00140125
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,יואב בן צור,5,0.962626064,0.032694975,0.004678939
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,ניר ברקת,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,אסף זמיר,10,0.995369375,0.002879747,0.001750874
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,תמר זנדברג,7,0.964194315,0.035635657,0.000170049
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,אחמד טיבי,18,0.919914885,0.079101728,0.000983382
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,מנסור עבאס,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,רועי פולקמן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,שלמה קרעי,6,0.98683989,0.011539566,0.001620527
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,פנינה תמנו,13,0.918371815,0.048015498,0.033612688
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,מיכאל מרדכי ביטון,17,0.963241872,0.035665773,0.001092358
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,איתן גינזבורג,14,0.967288464,0.031953162,0.000758355
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,יעל גרמן,1,0.997224569,0.002678552,9.69E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,יועז הנדל,10,0.960158652,0.038990943,0.000850381
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,שלי יחימוביץ',0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,מאיר כהן,15,0.978436005,0.02077941,0.000784595
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,יוליה מלינובסקי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,אבי ניסנקורן,23,0.989502479,0.009766662,0.000730855
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,אורלי פרומן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,עיסאווי פריג',26,0.972966535,0.018044883,0.008988576
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,מיכל רוזין,4,0.909761414,0.086016701,0.004221838
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,אלעזר שטרן,1,0.999868512,6.60E-05,6.55E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,1,27/05/2019,עאידה תומא סלימאן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,מכלוף מיקי זוהר,53,0.975322916,0.0241179,0.00055917
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אלי אבידר,1,0.99967587,0.0001701,0.000154042
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,יואב בן צור,1,0.991653383,0.006700621,0.001645979
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,ניר ברקת,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אסף זמיר,1,0.999798477,0.00015571,4.58E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,תמר זנדברג,6,0.999280711,0.000651516,6.78E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אחמד טיבי,5,0.941413844,0.057124357,0.001461812
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אורי מקלב,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,מנסור עבאס,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,רועי פולקמן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,שלמה קרעי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,פנינה תמנו,2,0.965982169,0.032653251,0.001364553
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,קארין אלהרר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אורנה ברביבאי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,איתן גינזבורג,3,0.989621202,0.009654045,0.00072475
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,יעל גרמן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,מאיר כהן,2,0.999059439,0.000611498,0.000329103
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,יוראי להב הרצנו,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,מיקי לוי,1,0.999720752,0.000177211,0.000101962
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,יוליה מלינובסקי,2,0.997194588,0.001682359,0.001123047
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,מיכאל מלכיאלי,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,יואב סגלוביץ',0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,עודד פורר,7,0.912713936,0.086510139,0.000775918
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אורלי פרומן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,עיסאווי פריג',4,0.980129436,0.019760655,0.000109888
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,מיכל רוזין,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,עפר שלח,1,0.999880672,7.67E-05,4.26E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,2,27/05/2019,אלעזר שטרן,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,מכלוף מיקי זוהר,48,0.977728824,0.021616775,0.000654393
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אלי אבידר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,יואב בן צור,1,0.999712884,0.00020382,8.33E-05
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,ניר ברקת,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,צבי האוזר,20,0.946525848,0.053151073,0.000323083
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אסף זמיר,0,0,0,0
21,הוועדה המיוחדת לדיון בהצעת חוק התפזרות הכנסת העשרים ואחת,4,28/05/2019,אחמד טיבי,2,0.902688473,0.097010742,0.00030075
